date,nav,daily_pnl,position,pos_size_bbl,roll_cost,action,crack,z_score
2019-01-02,1000000.0,0.0,0,0,0.0,hold,14.3852,
2019-01-03,1000000.0,0.0,0,0,0.0,hold,15.084,
2019-01-04,1000000.0,0.0,0,0,0.0,hold,14.5472,
2019-01-07,1000000.0,0.0,0,0,0.0,hold,13.92,
2019-01-08,1000000.0,0.0,0,0,0.0,hold,13.9508,
2019-01-09,1000000.0,0.0,0,0,0.0,hold,13.8824,
2019-01-10,1000000.0,0.0,0,0,0.0,hold,14.155,
2019-01-11,1000000.0,0.0,0,0,0.0,hold,13.9454,
2019-01-14,1000000.0,0.0,0,0,0.0,hold,13.6114,
2019-01-15,1000000.0,0.0,0,0,0.0,hold,13.62,
2019-01-16,1000000.0,0.0,0,0,0.0,hold,13.8596,
2019-01-17,1000000.0,0.0,0,0,0.0,hold,14.3502,
2019-01-18,1000000.0,0.0,0,0,0.0,hold,13.7024,
2019-01-22,1000000.0,0.0,0,0,0.0,hold,13.2874,
2019-01-23,1000000.0,0.0,0,0,0.0,hold,12.62,
2019-01-24,1000000.0,0.0,0,0,0.0,hold,12.1212,
2019-01-25,1000000.0,0.0,0,0,0.0,hold,11.6998,
2019-01-28,1000000.0,0.0,0,0,0.0,hold,11.0646,
2019-01-29,1000000.0,0.0,0,0,0.0,hold,11.0802,
2019-01-30,1000000.0,0.0,0,0,0.0,hold,11.052,
2019-01-31,1000000.0,0.0,0,0,0.0,hold,10.6688,
2019-02-01,1000000.0,0.0,0,0,0.0,hold,11.751,
2019-02-04,1000000.0,0.0,0,0,0.0,hold,12.248,
2019-02-05,1000000.0,0.0,0,0,0.0,hold,12.8302,
2019-02-06,1000000.0,0.0,0,0,0.0,hold,13.6156,
2019-02-07,1000000.0,0.0,0,0,0.0,hold,13.8894,
2019-02-08,1000000.0,0.0,0,0,0.0,hold,14.4982,
2019-02-11,1000000.0,0.0,0,0,0.0,hold,13.8184,
2019-02-12,1000000.0,0.0,0,0,0.0,hold,13.5624,
2019-02-13,1000000.0,0.0,0,0,0.0,hold,14.266,
2019-02-14,1000000.0,0.0,0,0,0.0,hold,15.4304,
2019-02-15,1000000.0,0.0,0,0,0.0,hold,16.7354,
2019-02-19,1000000.0,0.0,0,0,0.0,hold,15.6208,
2019-02-20,1000000.0,0.0,0,0,0.0,hold,16.083,
2019-02-21,1000000.0,0.0,0,0,0.0,hold,16.7514,
2019-02-22,1000000.0,0.0,0,0,0.0,hold,16.289,
2019-02-25,1000000.0,0.0,0,0,0.0,hold,15.43,
2019-02-26,1000000.0,0.0,0,0,0.0,hold,16.8954,
2019-02-27,1000000.0,0.0,0,0,0.0,hold,17.1144,
2019-02-28,1000000.0,0.0,0,0,0.0,hold,16.7294,
2019-03-01,1000000.0,0.0,0,0,0.0,hold,20.6624,
2019-03-04,1000000.0,0.0,0,0,0.0,hold,20.5822,
2019-03-05,1000000.0,0.0,0,0,0.0,hold,21.1568,
2019-03-06,1000000.0,0.0,0,0,0.0,hold,22.0988,
2019-03-07,1000000.0,0.0,0,0,0.0,hold,22.069,
2019-03-08,1000000.0,0.0,0,0,0.0,hold,22.3748,
2019-03-11,1000000.0,0.0,0,0,0.0,hold,22.2568,
2019-03-12,1000000.0,0.0,0,0,0.0,hold,21.7638,
2019-03-13,1000000.0,0.0,0,0,0.0,hold,21.6198,
2019-03-14,1000000.0,0.0,0,0,0.0,hold,20.9646,
2019-03-15,1000000.0,0.0,0,0,0.0,hold,21.0434,
2019-03-18,1000000.0,0.0,0,0,0.0,hold,21.1944,
2019-03-19,1000000.0,0.0,0,0,0.0,hold,21.8424,
2019-03-20,1000000.0,0.0,0,0,0.0,hold,21.9482,
2019-03-21,1000000.0,0.0,0,0,0.0,hold,21.6078,
2019-03-22,1000000.0,0.0,0,0,0.0,hold,22.4078,
2019-03-25,1000000.0,0.0,0,0,0.0,hold,23.1668,
2019-03-26,1000000.0,0.0,0,0,0.0,hold,22.6782,
2019-03-27,1000000.0,0.0,0,0,0.0,hold,21.3924,
2019-03-28,1000000.0,0.0,0,0,0.0,hold,20.9452,
2019-03-29,1000000.0,0.0,0,0,0.0,hold,20.5644,
2019-04-01,1000000.0,0.0,0,0,0.0,hold,19.4126,
2019-04-02,1000000.0,0.0,0,0,0.0,hold,19.5426,
2019-04-03,1000000.0,0.0,0,0,0.0,hold,20.2688,
2019-04-04,1000000.0,0.0,0,0,0.0,hold,20.4048,
2019-04-05,1000000.0,0.0,0,0,0.0,hold,20.6372,
2019-04-08,1000000.0,0.0,0,0,0.0,hold,20.0634,
2019-04-09,1000000.0,0.0,0,0,0.0,hold,20.6206,
2019-04-10,1000000.0,0.0,0,0,0.0,hold,22.554,
2019-04-11,1000000.0,0.0,0,0,0.0,hold,22.226,
2019-04-12,1000000.0,0.0,0,0,0.0,hold,22.1358,
2019-04-15,1000000.0,0.0,0,0,0.0,hold,21.7844,
2019-04-16,1000000.0,0.0,0,0,0.0,hold,21.9884,
2019-04-17,1000000.0,0.0,0,0,0.0,hold,22.3792,
2019-04-18,1000000.0,0.0,0,0,0.0,hold,23.0142,
2019-04-22,1000000.0,0.0,0,0,0.0,hold,23.3904,
2019-04-23,1000000.0,0.0,0,0,0.0,hold,23.0368,
2019-04-24,1000000.0,0.0,0,0,0.0,hold,23.0898,
2019-04-25,1000000.0,0.0,0,0,0.0,hold,23.8622,
2019-04-26,1000000.0,0.0,0,0,0.0,hold,24.2336,
2019-04-29,1000000.0,0.0,0,0,0.0,hold,23.587,
2019-04-30,1000000.0,0.0,0,0,0.0,hold,24.6764,
2019-05-01,1000000.0,0.0,0,0,0.0,hold,23.5164,
2019-05-02,1000000.0,0.0,0,0,0.0,hold,23.7916,
2019-05-03,1000000.0,0.0,0,0,0.0,hold,23.7848,
2019-05-06,1000000.0,0.0,0,0,0.0,hold,22.6012,
2019-05-07,1000000.0,0.0,0,0,0.0,hold,21.69,
2019-05-08,1000000.0,0.0,0,0,0.0,hold,21.9668,
2019-05-09,1000000.0,0.0,0,0,0.0,hold,22.2216,
2019-05-10,1000000.0,0.0,0,0,0.0,hold,22.7404,
2019-05-13,1000000.0,0.0,0,0,0.0,hold,22.4812,
2019-05-14,1000000.0,0.0,0,0,0.0,hold,22.3922,
2019-05-15,1000000.0,0.0,0,0,0.0,hold,23.5438,
2019-05-16,1000000.0,0.0,0,0,0.0,hold,24.5852,
2019-05-17,1000000.0,0.0,0,0,0.0,hold,23.9014,
2019-05-20,1000000.0,0.0,0,0,0.0,hold,22.2076,
2019-05-21,1000000.0,0.0,0,0,0.0,hold,22.662,
2019-05-22,1000000.0,0.0,0,0,0.0,hold,23.021,
2019-05-23,1000000.0,0.0,0,0,0.0,hold,23.136,
2019-05-24,1000000.0,0.0,0,0,0.0,hold,23.1342,
2019-05-28,1000000.0,0.0,0,0,0.0,hold,23.5426,
2019-05-29,1000000.0,0.0,0,0,0.0,hold,23.2006,
