,window,entry_thresh,is_sharpe,oos_sharpe,n_trades,max_dd_pct
0,20,1.5,0.1762,-0.0438,32,-18.32
1,20,2.0,-0.0331,0.0793,21,-11.13
2,20,2.5,0.2344,0.2748,11,-7.83
3,30,1.5,0.2884,0.2384,26,-19.28
4,30,2.0,0.4139,0.705,16,-12.72
5,30,2.5,-0.1948,0.2925,7,-7.98
6,40,1.5,0.1212,0.737,22,-21.48
7,40,2.0,0.0983,1.709,11,-10.18
8,40,2.5,-0.115,0.1328,7,-8.94
9,50,1.5,0.1787,0.729,22,-16.84
10,50,2.0,-0.2909,0.4448,11,-17.7
11,50,2.5,-0.1907,0.2049,7,-7.98
12,60,1.5,0.075,0.3596,19,-18.58
13,60,2.0,-0.2867,0.9708,12,-17.18
14,60,2.5,-0.3864,0.3864,6,-9.69
