entry_date,exit_date,direction,entry_spread,exit_spread,spread_chg,pos_size_bbl,gross_pnl,total_cost,net_pnl,hold_days,exit_reason
2019-02-15,2019-05-08,-1,16.7354,21.9668,5.2314,14000,-73239.63,1470.0,-74709.63,82,profit_target
2019-06-05,2019-06-17,1,20.6384,20.6054,-0.033,12000,-396.03,1260.0,-1656.03,12,profit_target
2019-06-19,2019-06-24,1,20.4456,20.7618,0.3162,14000,4426.78,1470.0,2956.78,5,profit_target
2019-08-06,2019-09-20,1,19.1504,16.7134,-2.437,14000,-34117.96,1470.0,-35587.96,45,profit_target
2019-12-03,2019-12-26,1,13.9798,16.153,2.1732,17000,36944.39,1785.0,35159.39,23,profit_target
2020-01-22,2020-02-07,1,12.6916,15.3554,2.6638,28000,74586.53,2940.0,71646.53,16,profit_target
2020-02-13,2020-02-26,-1,16.3526,12.9988,-3.3538,15000,50306.99,1575.0,48731.99,13,profit_target
2020-03-03,2020-03-11,-1,17.1584,15.4404,-1.718,10000,17179.99,1050.0,16129.99,8,profit_target
2020-03-13,2020-04-14,1,9.3712,13.2688,3.8976,6000,23385.59,630.0,22755.59,32,profit_target
2020-04-21,2020-04-22,-1,14.455,14.3306,-0.1244,1000,124.4,105.0,19.4,1,profit_target
2020-08-25,2020-08-28,-1,13.3766,10.8908,-2.4858,14000,34801.24,1470.0,33331.24,3,profit_target
2020-09-02,2020-09-29,1,8.785,9.8836,1.0986,11000,12084.54,1155.0,10929.54,27,profit_target
2020-10-20,2020-11-06,1,8.2302,9.2196,0.9894,27000,26713.92,2835.0,23878.92,17,profit_target
2020-12-11,2021-06-08,-1,10.1622,21.972,11.8098,30000,-354293.94,3150.0,-357443.94,179,profit_target
2021-06-16,2021-06-24,1,17.6712,20.8374,3.1662,14000,44326.83,1470.0,42856.83,8,profit_target
2021-06-29,2021-07-14,1,19.4186,21.097,1.6784,9000,15105.62,945.0,14160.62,15,profit_target
2021-08-05,2021-08-20,-1,24.626,21.0556,-3.5704,16000,57126.35,1680.0,55446.35,15,profit_target
2021-08-26,2021-09-02,-1,24.896,20.9358,-3.9602,8000,31681.56,840.0,30841.56,7,profit_target
2021-09-23,2021-10-01,1,18.9894,20.4778,1.4884,7000,10418.85,735.0,9683.85,8,profit_target
2021-11-02,2021-11-24,1,19.8076,19.9236,0.116,11000,1276.06,1155.0,121.06,22,profit_target
2022-01-27,2022-02-17,-1,23.101,21.4076,-1.6934,13000,22014.16,1365.0,20649.16,21,profit_target
2022-02-24,2022-05-19,-1,25.3346,48.1656,22.831,10000,-228310.05,1050.0,-229360.05,84,profit_target
2022-06-03,2022-06-30,-1,60.1158,51.0092,-9.1066,3000,27319.81,315.0,27004.81,27,profit_target
2022-07-07,2022-07-27,1,44.4758,50.7886,6.3128,2000,12625.62,210.0,12415.62,20,profit_target
2022-08-02,2022-08-19,1,38.4932,45.527,7.0338,2000,14067.6,210.0,13857.6,17,profit_target
2022-09-02,2022-09-28,1,32.2028,38.3228,6.12,3000,18360.0,315.0,18045.0,26,profit_target
2022-10-25,2022-11-02,-1,51.8688,37.0052,-14.8636,3000,44590.78,315.0,44275.78,8,profit_target
2022-12-06,2022-12-28,1,26.7418,34.4904,7.7486,5000,38743.0,525.0,38218.0,22,profit_target
2023-03-20,2023-03-31,-1,40.9874,37.4122,-3.5752,4000,14300.79,420.0,13880.79,11,profit_target
2023-05-04,2023-05-18,1,27.907,33.6888,5.7818,12000,69381.56,1260.0,68121.56,14,profit_target
2023-06-20,2023-07-05,-1,37.2132,33.6286,-3.5846,6000,21507.6,630.0,20877.6,15,profit_target
2023-07-21,2023-09-01,-1,39.8202,30.4736,-9.3466,7000,65426.19,735.0,64691.19,42,profit_target
2023-09-05,2023-11-14,1,30.6524,23.6978,-6.9546,4000,-27818.4,420.0,-28238.4,70,profit_target
2023-12-20,2023-12-26,-1,25.3186,22.2256,-3.093,10000,30929.99,1050.0,29879.99,6,profit_target
2024-01-29,2024-02-01,-1,25.2926,25.615,0.3224,13000,-4191.18,1365.0,-5556.18,3,profit_target
2024-02-06,2024-02-20,-1,27.1722,23.8282,-3.344,12000,40128.04,1260.0,38868.04,14,profit_target
2024-03-04,2024-04-02,-1,30.7204,30.0658,-0.6546,5000,3273.04,525.0,2748.04,29,profit_target
2024-05-15,2024-06-27,1,25.2038,25.2032,-0.0006,16000,-9.61,1680.0,-1689.61,43,profit_target
2024-07-18,2024-07-24,1,22.4544,25.3856,2.9312,14000,41036.79,1470.0,39566.79,6,profit_target
2024-08-13,2024-10-14,1,21.5904,17.0496,-4.5408,16000,-72652.93,1680.0,-74332.93,62,profit_target
2024-11-19,2024-11-29,-1,19.0284,17.1256,-1.9028,25000,47569.99,2625.0,44944.99,10,profit_target
2024-12-18,2024-12-30,1,15.3884,16.5394,1.151,21000,24171.02,2205.0,21966.02,12,end_of_backtest
